Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,Q1,1720363519.643882,10055688,0,1
2,Q2,1720363529.699812,2655280,0,1
3,Q3,1720363532.355108,2700656,0,1
4,Q4,1720363535.055780,491272,0,1
5,Q5,1720363535.547071,1922350,0,1
6,Q6,1720363537.469438,1121287,0,1
7,Q7,1720363538.590741,2601042,0,1
8,Q8,1720363541.191800,3876822,0,1
9,Q9,1720363545.068671,4260317,0,1
10,Q10,1720363549.329006,980338,0,1
11,Q11,1720363550.309364,253219,0,1
12,Q12,1720363550.562600,1991978,0,1
13,Q13,1720363552.554596,1782226,0,1
14,Q14,1720363554.336850,511180,0,1
15,Q15,1720363554.848052,1926684,0,1
16,Q16,1720363556.774756,871369,0,1
17,Q17,1720363557.646157,1091644,0,1
18,Q18,1720363558.737819,2760861,0,1
19,Q19,1720363561.498698,231116,0,1
20,Q20,1720363561.729833,1064826,0,1
21,Q21,1720363562.794677,2226830,0,1
22,Q22,1720363565.021525,198074,0,1
1,Q1,1720363565.219618,9097337,0,1
2,Q2,1720363574.316974,787267,0,1
3,Q3,1720363575.104271,1123546,0,1
4,Q4,1720363576.227837,443502,0,1
5,Q5,1720363576.671358,1787894,0,1
6,Q6,1720363578.459271,1052092,0,1
7,Q7,1720363579.511390,2590979,0,1
8,Q8,1720363582.102405,3825875,0,1
9,Q9,1720363585.928310,3439575,0,1
10,Q10,1720363589.367908,831284,0,1
11,Q11,1720363590.199213,243882,0,1
12,Q12,1720363590.443112,1785192,0,1
13,Q13,1720363592.228323,1830205,0,1
14,Q14,1720363594.058560,479740,0,1
15,Q15,1720363594.538326,1886199,0,1
16,Q16,1720363596.424544,758455,0,1
17,Q17,1720363597.183018,1074451,0,1
18,Q18,1720363598.257489,2831745,0,1
19,Q19,1720363601.089253,163209,0,1
20,Q20,1720363601.252481,1040645,0,1
21,Q21,1720363602.293146,2284796,0,1
22,Q22,1720363604.577970,200740,0,1
1,Q1,1720363604.778729,9195967,0,1
2,Q2,1720363613.974715,758479,0,1
3,Q3,1720363614.733215,1056070,0,1
4,Q4,1720363615.789304,447408,0,1
5,Q5,1720363616.236749,1750915,0,1
6,Q6,1720363617.987682,1014792,0,1
7,Q7,1720363619.002495,2679720,0,1
8,Q8,1720363621.682234,3914660,0,1
9,Q9,1720363625.596913,5238785,0,1
10,Q10,1720363630.835717,799408,0,1
11,Q11,1720363631.635143,234239,0,1
12,Q12,1720363631.869402,1782302,0,1
13,Q13,1720363633.651723,1906971,0,1
14,Q14,1720363635.558716,528504,0,1
15,Q15,1720363636.087239,1951867,0,1
16,Q16,1720363638.039125,810998,0,1
17,Q17,1720363638.850141,1158907,0,1
18,Q18,1720363640.009067,2788797,0,1
19,Q19,1720363642.797902,217200,0,1
20,Q20,1720363643.015127,1016895,0,1
21,Q21,1720363644.032058,2080955,0,1
22,Q22,1720363646.113034,198518,0,1
1,Q1,1720363646.311572,9070192,0,1
2,Q2,1720363655.381783,742500,0,1
3,Q3,1720363656.124303,1077361,0,1
4,Q4,1720363657.201684,434222,0,1
5,Q5,1720363657.635925,1792400,0,1
6,Q6,1720363659.428344,1062906,0,1
7,Q7,1720363660.491271,2695525,0,1
8,Q8,1720363663.186815,3958215,0,1
9,Q9,1720363667.145050,3465686,0,1
10,Q10,1720363670.610758,843028,0,1
11,Q11,1720363671.453807,242139,0,1
12,Q12,1720363671.695966,1800099,0,1
13,Q13,1720363673.496085,1791504,0,1
14,Q14,1720363675.287611,472364,0,1
15,Q15,1720363675.759994,1934428,0,1
16,Q16,1720363677.694446,775419,0,1
17,Q17,1720363678.469888,1136001,0,1
18,Q18,1720363679.605909,2756340,0,1
19,Q19,1720363682.362267,200741,0,1
20,Q20,1720363682.563029,1053989,0,1
21,Q21,1720363683.617039,2214927,0,1
22,Q22,1720363685.831986,198765,0,1
1,Q1,1720363686.030770,9092635,0,1
2,Q2,1720363695.123425,821217,0,1
3,Q3,1720363695.944668,1071980,0,1
4,Q4,1720363697.016668,449342,0,1
5,Q5,1720363697.466032,1843265,0,1
6,Q6,1720363699.309316,1039091,0,1
7,Q7,1720363700.348427,2528074,0,1
8,Q8,1720363702.876522,3844734,0,1
9,Q9,1720363706.721277,5219932,0,1
10,Q10,1720363711.941230,839480,0,1
11,Q11,1720363712.780732,232006,0,1
12,Q12,1720363713.012758,1737909,0,1
13,Q13,1720363714.750687,1781174,0,1
14,Q14,1720363716.531899,470645,0,1
15,Q15,1720363717.002566,1945902,0,1
16,Q16,1720363718.948488,766257,0,1
17,Q17,1720363719.714767,1108584,0,1
18,Q18,1720363720.823370,2749475,0,1
19,Q19,1720363723.572866,141119,0,1
20,Q20,1720363723.714009,1050091,0,1
21,Q21,1720363724.764122,2097601,0,1
22,Q22,1720363726.861746,198344,0,1
1,Q1,1720363727.060110,9043640,0,1
2,Q2,1720363736.103770,741030,0,1
3,Q3,1720363736.844823,1043798,0,1
4,Q4,1720363737.888644,443692,0,1
5,Q5,1720363738.332358,1782034,0,1
6,Q6,1720363740.114415,1042844,0,1
7,Q7,1720363741.157281,2513349,0,1
