Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.200,10055.688,10055.688,10055.688,10055.688,10055.688,10055.688,10055.688,10055.688,10055.688,0.000
5,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
10,0.400,2677.968,2655.280,2655.280,2700.656,2700.656,2700.656,2700.656,2700.656,2700.656,0.000
15,0.800,1533.988,491.272,1121.287,1922.350,2601.042,2601.042,2601.042,2601.042,2601.042,0.001
20,0.200,3876.822,3876.822,3876.822,3876.822,3876.822,3876.822,3876.822,3876.822,3876.822,0.000
25,0.400,2620.328,980.338,980.338,4260.317,4260.317,4260.317,4260.317,4260.317,4260.317,0.000
30,0.800,1134.651,253.219,511.180,1782.226,1991.978,1991.978,1991.978,1991.978,1991.978,0.001
35,0.800,1662.640,871.369,1091.644,1926.684,2760.861,2760.861,2760.861,2760.861,2760.861,0.001
40,0.600,1174.257,231.116,231.116,1064.826,2226.830,2226.830,2226.830,2226.830,2226.830,0.001
45,0.400,4647.706,198.074,198.074,9097.337,9097.337,9097.337,9097.337,9097.337,9097.337,0.000
50,0.200,787.267,787.267,787.267,787.267,787.267,787.267,787.267,787.267,787.267,0.001
55,1.000,1399.603,443.502,1052.092,1123.546,1787.894,2590.979,2590.979,2590.979,2590.979,0.001
60,0.200,3825.875,3825.875,3825.875,3825.875,3825.875,3825.875,3825.875,3825.875,3825.875,0.000
65,0.400,2135.430,831.284,831.284,3439.575,3439.575,3439.575,3439.575,3439.575,3439.575,0.000
70,1.000,1245.044,243.882,479.740,1785.192,1830.205,1886.199,1886.199,1886.199,1886.199,0.001
75,0.600,1554.884,758.455,758.455,1074.451,2831.745,2831.745,2831.745,2831.745,2831.745,0.001
80,0.800,922.348,163.209,200.740,1040.645,2284.796,2284.796,2284.796,2284.796,2284.796,0.001
85,0.200,9195.967,9195.967,9195.967,9195.967,9195.967,9195.967,9195.967,9195.967,9195.967,0.000
90,0.200,758.479,758.479,758.479,758.479,758.479,758.479,758.479,758.479,758.479,0.001
95,1.000,1389.781,447.408,1014.792,1056.070,1750.915,2679.720,2679.720,2679.720,2679.720,0.001
100,0.200,3914.660,3914.660,3914.660,3914.660,3914.660,3914.660,3914.660,3914.660,3914.660,0.000
105,0.200,5238.785,5238.785,5238.785,5238.785,5238.785,5238.785,5238.785,5238.785,5238.785,0.000
110,0.800,1180.730,234.239,799.408,1782.302,1906.971,1906.971,1906.971,1906.971,1906.971,0.001
115,0.800,1112.569,528.504,810.998,1158.907,1951.867,1951.867,1951.867,1951.867,1951.867,0.001
120,0.800,1525.962,217.200,1016.895,2080.955,2788.797,2788.797,2788.797,2788.797,2788.797,0.001
125,0.400,4634.355,198.518,198.518,9070.192,9070.192,9070.192,9070.192,9070.192,9070.192,0.000
130,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
135,1.000,1021.878,434.222,742.500,1062.906,1077.361,1792.400,1792.400,1792.400,1792.400,0.001
140,0.400,3326.870,2695.525,2695.525,3958.215,3958.215,3958.215,3958.215,3958.215,3958.215,0.000
145,0.200,3465.686,3465.686,3465.686,3465.686,3465.686,3465.686,3465.686,3465.686,3465.686,0.000
150,0.800,1169.193,242.139,843.028,1791.504,1800.099,1800.099,1800.099,1800.099,1800.099,0.001
155,1.000,1414.910,472.364,775.419,1136.001,1934.428,2756.340,2756.340,2756.340,2756.340,0.001
160,0.600,1156.552,200.741,200.741,1053.989,2214.927,2214.927,2214.927,2214.927,2214.927,0.001
165,0.400,4645.700,198.765,198.765,9092.635,9092.635,9092.635,9092.635,9092.635,9092.635,0.000
170,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
175,1.000,1044.979,449.342,821.217,1039.091,1071.980,1843.265,1843.265,1843.265,1843.265,0.001
180,0.400,3186.404,2528.074,2528.074,3844.734,3844.734,3844.734,3844.734,3844.734,3844.734,0.000
185,0.200,5219.932,5219.932,5219.932,5219.932,5219.932,5219.932,5219.932,5219.932,5219.932,0.000
190,0.600,936.465,232.006,232.006,839.480,1737.909,1737.909,1737.909,1737.909,1737.909,0.001
195,0.800,1240.995,470.645,766.257,1781.174,1945.902,1945.902,1945.902,1945.902,1945.902,0.001
200,0.800,1262.317,141.119,1050.091,1108.584,2749.475,2749.475,2749.475,2749.475,2749.475,0.001
205,0.600,3779.862,198.344,198.344,2097.601,9043.640,9043.640,9043.640,9043.640,9043.640,0.000
210,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
215,0.800,1002.639,443.692,741.030,1043.798,1782.034,1782.034,1782.034,1782.034,1782.034,0.001
220,0.600,2508.784,1042.844,1042.844,2513.349,3970.158,3970.158,3970.158,3970.158,3970.158,0.000
225,0.200,5418.829,5418.829,5418.829,5418.829,5418.829,5418.829,5418.829,5418.829,5418.829,0.000
230,0.600,973.152,249.538,249.538,841.806,1828.113,1828.113,1828.113,1828.113,1828.113,0.001
235,0.600,1448.086,507.049,507.049,1845.520,1991.688,1991.688,1991.688,1991.688,1991.688,0.001
240,0.600,1522.814,778.652,778.652,1062.566,2727.223,2727.223,2727.223,2727.223,2727.223,0.001
245,1.000,2535.857,139.181,198.705,1041.025,2148.624,9151.748,9151.748,9151.748,9151.748,0.000
250,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
255,0.600,766.620,456.340,456.340,728.673,1114.846,1114.846,1114.846,1114.846,1114.846,0.001
260,0.600,1747.706,991.779,991.779,1765.808,2485.532,2485.532,2485.532,2485.532,2485.532,0.001
265,0.400,4571.515,3980.580,3980.580,5162.449,5162.449,5162.449,5162.449,5162.449,5162.449,0.000
270,0.200,817.054,817.054,817.054,817.054,817.054,817.054,817.054,817.054,817.054,0.001
275,1.000,1218.361,232.110,485.770,1700.251,1750.586,1923.086,1923.086,1923.086,1923.086,0.001
280,0.600,1511.539,772.281,772.281,1036.468,2725.869,2725.869,2725.869,2725.869,2725.869,0.001
285,1.000,2565.489,128.354,199.094,1054.656,2274.027,9171.315,9171.315,9171.315,9171.315,0.000
290,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
295,0.400,920.760,775.925,775.925,1065.594,1065.594,1065.594,1065.594,1065.594,1065.594,0.001
300,0.800,1425.685,440.467,973.894,1754.931,2533.446,2533.446,2533.446,2533.446,2533.446,0.001
305,0.200,3882.430,3882.430,3882.430,3882.430,3882.430,3882.430,3882.430,3882.430,3882.430,0.000
310,0.800,1552.703,240.399,773.286,1805.660,3391.467,3391.467,3391.467,3391.467,3391.467,0.001
315,0.600,1427.306,467.677,467.677,1883.983,1930.259,1930.259,1930.259,1930.259,1930.259,0.001
320,0.600,1522.934,773.068,773.068,1054.217,2741.516,2741.516,2741.516,2741.516,2741.516,0.001
325,1.000,2647.717,132.404,228.414,1065.197,2297.165,9515.407,9515.407,9515.407,9515.407,0.000
330,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
335,0.400,917.494,756.904,756.904,1078.084,1078.084,1078.084,1078.084,1078.084,1078.084,0.001
340,0.800,1453.415,441.045,1063.336,1751.188,2558.091,2558.091,2558.091,2558.091,2558.091,0.001
345,0.200,3893.474,3893.474,3893.474,3893.474,3893.474,3893.474,3893.474,3893.474,3893.474,0.000
350,0.200,5228.855,5228.855,5228.855,5228.855,5228.855,5228.855,5228.855,5228.855,5228.855,0.000
355,0.800,1180.071,226.608,941.176,1772.745,1779.754,1779.754,1779.754,1779.754,1779.754,0.001
360,1.000,1392.251,494.231,770.135,1044.774,1907.665,2744.451,2744.451,2744.451,2744.451,0.001
365,0.600,1068.800,126.110,126.110,1076.042,2004.247,2004.247,2004.247,2004.247,2004.247,0.001
370,0.400,4896.834,205.328,205.328,9588.339,9588.339,9588.339,9588.339,9588.339,9588.339,0.000
375,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
380,1.000,1194.801,432.161,631.047,1118.257,1743.130,2049.409,2049.409,2049.409,2049.409,0.001
385,0.400,3295.700,2647.154,2647.154,3944.245,3944.245,3944.245,3944.245,3944.245,3944.245,0.000
390,0.200,5132.832,5132.832,5132.832,5132.832,5132.832,5132.832,5132.832,5132.832,5132.832,0.000
395,0.600,959.080,218.439,218.439,771.769,1887.033,1887.033,1887.033,1887.033,1887.033,0.001
400,0.800,1218.874,495.819,759.742,1763.909,1856.025,1856.025,1856.025,1856.025,1856.025,0.001
405,0.800,1242.536,130.029,1036.159,1037.035,2766.919,2766.919,2766.919,2766.919,2766.919,0.001
410,0.600,3960.207,244.421,244.421,2000.590,9635.610,9635.610,9635.610,9635.610,9635.610,0.000
415,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
420,0.800,1057.382,430.623,655.970,1082.706,2060.230,2060.230,2060.230,2060.230,2060.230,0.001
425,0.400,2133.462,1655.218,1655.218,2611.706,2611.706,2611.706,2611.706,2611.706,2611.706,0.000
430,0.400,4472.987,3871.900,3871.900,5074.073,5074.073,5074.073,5074.073,5074.073,5074.073,0.000
435,0.200,810.964,810.964,810.964,810.964,810.964,810.964,810.964,810.964,810.964,0.001
440,0.800,1102.287,217.746,517.655,1792.514,1881.233,1881.233,1881.233,1881.233,1881.233,0.001
445,0.800,1653.058,756.620,1078.146,1990.118,2787.346,2787.346,2787.346,2787.346,2787.346,0.001
450,0.800,886.403,142.557,244.792,1072.028,2086.234,2086.234,2086.234,2086.234,2086.234,0.001
455,0.200,9552.423,9552.423,9552.423,9552.423,9552.423,9552.423,9552.423,9552.423,9552.423,0.000
460,0.200,647.753,647.753,647.753,647.753,647.753,647.753,647.753,647.753,647.753,0.002
465,0.800,1341.661,436.299,1069.325,1802.752,2058.267,2058.267,2058.267,2058.267,2058.267,0.001
470,0.400,3233.805,2512.095,2512.095,3955.514,3955.514,3955.514,3955.514,3955.514,3955.514,0.000
475,0.200,5174.890,5174.890,5174.890,5174.890,5174.890,5174.890,5174.890,5174.890,5174.890,0.000
480,0.600,944.294,229.035,229.035,776.916,1826.930,1826.930,1826.930,1826.930,1826.930,0.001
