Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1,1.000,10055688,10055688,10055688,10055688,10055688,10055688,10055688,10055688,10055688
1,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,1,1.000,2655280,2655280,2655280,2655280,2655280,2655280,2655280,2655280,2655280
11,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,1,1.000,2700656,2700656,2700656,2700656,2700656,2700656,2700656,2700656,2700656
13,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,2,2.000,491272,491272,1922350,1206811,1922350,1922350,1922350,1922350,1922350
16,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,1,1.000,1121287,1121287,1121287,1121287,1121287,1121287,1121287,1121287,1121287
18,1,1.000,2601042,2601042,2601042,2601042,2601042,2601042,2601042,2601042,2601042
19,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,1,1.000,3876822,3876822,3876822,3876822,3876822,3876822,3876822,3876822,3876822
22,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,1,1.000,4260317,4260317,4260317,4260317,4260317,4260317,4260317,4260317,4260317
26,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,1,1.000,980338,980338,980338,980338,980338,980338,980338,980338,980338
30,2,2.000,253219,253219,1991978,1122598,1991978,1991978,1991978,1991978,1991978
31,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
32,1,1.000,1782226,1782226,1782226,1782226,1782226,1782226,1782226,1782226,1782226
33,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
34,1,1.000,511180,511180,511180,511180,511180,511180,511180,511180,511180
35,1,1.000,1926684,1926684,1926684,1926684,1926684,1926684,1926684,1926684,1926684
36,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
37,1,1.000,871369,871369,871369,871369,871369,871369,871369,871369,871369
38,1,1.000,1091644,1091644,1091644,1091644,1091644,1091644,1091644,1091644,1091644
39,1,1.000,2760861,2760861,2760861,2760861,2760861,2760861,2760861,2760861,2760861
40,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
41,1,1.000,231116,231116,231116,231116,231116,231116,231116,231116,231116
42,1,1.000,1064826,1064826,1064826,1064826,1064826,1064826,1064826,1064826,1064826
43,1,1.000,2226830,2226830,2226830,2226830,2226830,2226830,2226830,2226830,2226830
44,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,2,2.000,198074,198074,9097337,4647705,9097337,9097337,9097337,9097337,9097337
46,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
47,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
48,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
49,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
50,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
51,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
52,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
53,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
54,1,1.000,787267,787267,787267,787267,787267,787267,787267,787267,787267
55,1,1.000,1123546,1123546,1123546,1123546,1123546,1123546,1123546,1123546,1123546
56,1,1.000,443502,443502,443502,443502,443502,443502,443502,443502,443502
57,1,1.000,1787894,1787894,1787894,1787894,1787894,1787894,1787894,1787894,1787894
58,1,1.000,1052092,1052092,1052092,1052092,1052092,1052092,1052092,1052092,1052092
59,1,1.000,2590979,2590979,2590979,2590979,2590979,2590979,2590979,2590979,2590979
60,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
61,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
62,1,1.000,3825875,3825875,3825875,3825875,3825875,3825875,3825875,3825875,3825875
63,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
64,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
65,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
66,1,1.000,3439575,3439575,3439575,3439575,3439575,3439575,3439575,3439575,3439575
67,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
68,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
69,1,1.000,831284,831284,831284,831284,831284,831284,831284,831284,831284
70,2,2.000,243882,243882,1785192,1014537,1785192,1785192,1785192,1785192,1785192
71,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
72,1,1.000,1830205,1830205,1830205,1830205,1830205,1830205,1830205,1830205,1830205
73,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
74,2,2.000,479740,479740,1886199,1182969,1886199,1886199,1886199,1886199,1886199
75,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
76,1,1.000,758455,758455,758455,758455,758455,758455,758455,758455,758455
77,1,1.000,1074451,1074451,1074451,1074451,1074451,1074451,1074451,1074451,1074451
78,1,1.000,2831745,2831745,2831745,2831745,2831745,2831745,2831745,2831745,2831745
79,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
80,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
81,2,2.000,163209,163209,1040645,601927,1040645,1040645,1040645,1040645,1040645
82,1,1.000,2284796,2284796,2284796,2284796,2284796,2284796,2284796,2284796,2284796
83,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
84,1,1.000,200740,200740,200740,200740,200740,200740,200740,200740,200740
85,1,1.000,9195967,9195967,9195967,9195967,9195967,9195967,9195967,9195967,9195967
86,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
87,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
88,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
89,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
90,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
91,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
92,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
93,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
94,1,1.000,758479,758479,758479,758479,758479,758479,758479,758479,758479
95,1,1.000,1056070,1056070,1056070,1056070,1056070,1056070,1056070,1056070,1056070
96,2,2.000,447408,447408,1750915,1099161,1750915,1750915,1750915,1750915,1750915
97,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
98,1,1.000,1014792,1014792,1014792,1014792,1014792,1014792,1014792,1014792,1014792
99,1,1.000,2679720,2679720,2679720,2679720,2679720,2679720,2679720,2679720,2679720
100,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
101,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
102,1,1.000,3914660,3914660,3914660,3914660,3914660,3914660,3914660,3914660,3914660
103,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
104,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
105,1,1.000,5238785,5238785,5238785,5238785,5238785,5238785,5238785,5238785,5238785
106,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
107,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
108,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
109,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
110,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
111,2,2.000,234239,234239,799408,516823,799408,799408,799408,799408,799408
112,1,1.000,1782302,1782302,1782302,1782302,1782302,1782302,1782302,1782302,1782302
113,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
114,1,1.000,1906971,1906971,1906971,1906971,1906971,1906971,1906971,1906971,1906971
115,1,1.000,528504,528504,528504,528504,528504,528504,528504,528504,528504
116,1,1.000,1951867,1951867,1951867,1951867,1951867,1951867,1951867,1951867,1951867
117,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
118,1,1.000,810998,810998,810998,810998,810998,810998,810998,810998,810998
119,1,1.000,1158907,1158907,1158907,1158907,1158907,1158907,1158907,1158907,1158907
120,1,1.000,2788797,2788797,2788797,2788797,2788797,2788797,2788797,2788797,2788797
121,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
122,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
123,2,2.000,217200,217200,1016895,617047,1016895,1016895,1016895,1016895,1016895
124,1,1.000,2080955,2080955,2080955,2080955,2080955,2080955,2080955,2080955,2080955
125,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
126,2,2.000,198518,198518,9070192,4634355,9070192,9070192,9070192,9070192,9070192
127,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
128,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
129,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
130,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
131,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
132,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
133,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
134,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
135,1,1.000,742500,742500,742500,742500,742500,742500,742500,742500,742500
136,1,1.000,1077361,1077361,1077361,1077361,1077361,1077361,1077361,1077361,1077361
137,2,2.000,434222,434222,1792400,1113311,1792400,1792400,1792400,1792400,1792400
138,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
139,1,1.000,1062906,1062906,1062906,1062906,1062906,1062906,1062906,1062906,1062906
140,1,1.000,2695525,2695525,2695525,2695525,2695525,2695525,2695525,2695525,2695525
141,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
142,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
143,1,1.000,3958215,3958215,3958215,3958215,3958215,3958215,3958215,3958215,3958215
144,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
145,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
